Year,Season,EPU,volume_1m2,SmCalanoida,LgCalanoida,Bryozoa,Chaetognatha,Cirripedia,Cnidaria,Cyclopoida,Decapoda,Polychaeta,Diplostraca,Echinodermata,Euphausiacea,Gammaridea,Hyperiidea,Mollusca,Mysidacea,Ostracoda,Protozoa,Thecosomata,Tunicata
2007,1,1,11.78787234,444785.0383,13996.45191,57.55829787,8023.261702,23.55978723,360.6551064,8603.419574,276.6538298,50.54510638,3.874042553,1994.869362,1999.764255,147.6989362,15657.11191,16646.66787,20.65382979,319.5912766,8010.025106,10789.78149,4859.284894
2008,1,1,9.820769231,211012.9588,52560.70385,48.02461538,17429.7,11270.10923,105.7738462,2069.284231,124.9311538,171.0180769,0,215.7596154,1159.676923,441.0692308,6750.492692,37219.55462,339.8657692,0,0,36955.87154,8762.29
2009,1,1,12.19692308,266497.2754,9100.095385,7.042692308,16099.27885,361.5048077,236.3351923,3974.283462,112.1765385,65.32423077,22.37403846,37.22423077,531.1509615,301.1669231,8972.8325,15322.03077,180.5678846,152.7557692,3981.149423,14955.43577,1150.588269
2010,1,1,6.37972973,160657.5073,7890.942973,215.1056757,8240.010541,502.2959459,1.000540541,5098.818108,148.7337838,67.16891892,0,19.56567568,525.3018919,24.59189189,4302.046216,3658.977568,281.0567568,24.70054054,51.19594595,3598.633243,3830.020541
2011,1,1,5.786363636,173032.6048,6400.151591,440.2568182,4344.952273,2093.143864,89.31931818,4622.7625,127.4906818,469.3831818,31.32522727,62.45090909,153.1365909,73.17772727,2837.388182,16613.70341,190.8722727,13.56318182,134.7220455,16372.98955,2230.545227
2012,1,1,9.237192982,345289.0218,13530.70596,11.56684211,14700.32333,607.8577193,150.6678947,5317.315263,557.4196491,105.4247368,71.40192982,0,2688.990351,18.24736842,14533.96526,47030.51228,250.9412281,6.03245614,814.9652632,46568.06754,2494.514561
2013,1,1,8.2518,326071.877,21612.5758,40.3574,17810.4708,20847.0838,50.9598,7134.7396,187.8676,409.9716,43.927,204.3128,1571.064,30.017,6673.193,6339.5912,103.5264,162.6088,1179.0632,3589.5882,263.7578
2014,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,1,1,5.739347826,135070.48,7774.329565,91.73391304,24288.625,2212.207609,135.2747826,2624.229348,99.37369565,76.54086957,828.5369565,54.94565217,1370.056739,64.51,2896.864348,1697.680652,17.81521739,42.74347826,2097.503913,1220.728043,300.6776087
2018,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977,1,2,12.91241379,220873.2134,20240.35034,0,16567.72138,4.249655172,0,1024.045862,45.39862069,12.98655172,2.172413793,0,845.9955172,2313.781379,12875.52345,5940.667586,193.4668966,641.7113793,8.832413793,6.544482759,11.82103448
1978,1,2,11.57192308,43093.85654,20595.06346,0,9463.154615,0,0,15.34423077,95.35730769,38.21269231,0,5.009615385,26.14192308,178.6334615,5597.227692,2929.548077,149.4415385,0,0,0,0
1979,1,2,17.43285714,297154.4007,29742.69214,0,21873.38357,0,3490.654286,4454.372143,262.245,132.8821429,291.7428571,0,560.5635714,1002.435,2851.896429,13565.385,1830.154286,139.2571429,2391.896429,8379.522857,339.6185714
1980,1,2,8.479736842,181423.5626,53560.57158,0,6447.410526,12859.95816,317.5084211,9974.831842,329.3184211,608.2844737,32.27315789,22.20315789,594.7542105,2664.856842,3659.967632,1262.266053,1134.267105,6.328684211,319.3939474,416.5326316,1960.060789
1981,1,2,7.2816,133140.3276,40049.3032,0,11161.8048,34.688,1212.2204,2365.7628,110.0188,109.0092,13.8516,326.3224,458.6304,221.2944,1582.3068,8538.346,313.0632,97.1504,258.5056,7602.594,513.8596
1982,1,2,9.975,307014.8083,113593.7033,0,22316.37667,249.0166667,137.0266667,8636.548333,114.9183333,75.275,0,0,2889.505,5194.171667,4761.248333,10002.37167,0,137.0266667,719.7933333,5610.76,0
1983,1,2,7.451612903,104268.2605,21382.49508,0,10619.19952,177.9465079,33.33365079,782.4250794,222.3969841,547.7361905,21.27333333,11551.72429,340.8285714,593.9761905,57.05761905,3416.80127,552.4596825,23.25111111,1597.168889,2293.726508,3747.52127
1984,1,2,7.607368421,69558.30632,23729.74553,0,10601.11,152.5352632,25.35026316,266.4407895,144.5565789,182.0868421,15.06921053,32.63210526,61.04078947,296.8005263,63.70026316,1044.965,1263.551579,11.81631579,2135.042368,255.2531579,1191.956053
1985,1,2,8.949444444,126350.7897,11470.70833,0,9525.816944,167.2808333,845.6436111,1419.929722,256.3833333,353.2147222,49.66027778,1.159722222,156.4152778,665.1283333,231.5208333,855.2483333,4913.443889,103.0958333,571.4627778,609.0047222,103.1166667
1986,1,2,7.275,117613.8956,8218.721667,0,3830.026667,120.3797222,57.83583333,159.4538889,210.3647222,146.6491667,0,0,78.10111111,437.7486111,238.97,5304.209167,331.8833333,25.3525,671.5386111,4572.691667,71.94555556
1987,1,2,8.875576923,38429.40962,15364.04981,0,11933.57942,154.3340385,282.8892308,619.1888462,151.3888462,141.8107692,0,106.0525,157.7526923,7663.651154,341.3034615,1519.525769,525.6373077,27.89923077,129.4315385,121.9801923,1791.058846
1988,1,2,17.15144737,395837.4091,19879.64303,90.99289474,13048.24632,801.7227632,145.4303947,561.1901316,75.32552632,25.21342105,143.1775,437.5706579,103.1064474,15209.73539,1211.715921,1117.056053,946.9930263,7.331842105,80.59434211,155.3119737,0
1989,1,2,14.50966102,228111.5964,9885.975424,278.4369492,3103.053814,2950.03678,241.9251695,367.6778814,121.4715254,134.4254237,124.5440678,22.08271186,115.0938136,15605.48297,288.8750847,1162.999068,962.1388983,3.104745763,178.2911864,585.1210169,168.1229661
1990,1,2,22.4394152,275135.2085,24877.60667,3117.813392,4000.233509,31629.3569,1481.679006,11793.99158,156.7610526,200.9082456,395.9218129,169.3130994,127.1511111,8435.117076,913.0173099,2384.164035,1108.888596,27.13695906,268.4863743,1723.332632,11157.28088
1991,1,2,10.59419608,266213.4654,13757.73533,3486.808745,5339.573922,17979.32757,340.0168627,4337.787686,161.5122353,53.03458824,2203.637529,60.87098039,114.8090588,2018.36898,1536.396549,5856.462392,633.9976863,134.1583529,78.23368627,5290.734078,6675.478902
1992,1,2,14.65537037,133872.6996,24031.17588,1949.031991,4732.052731,4494.086898,1463.292269,17457.69236,87.89884259,210.8545833,56.48796296,6440.156944,117.7375,4285.941759,907.2028704,12618.48917,287.8683796,73.4712037,556.3456019,11313.80917,14957.91991
1993,1,2,15.97026455,262319.8399,24474.81519,965.3561376,11618.71069,82.82650794,2604.39619,10042.25915,142.1696825,216.0730159,30.36740741,235.935291,662.1977778,3259.675344,3423.743122,9192.427831,922.1569312,443.9965608,691.4085714,5292.896296,7714.887513
1994,1,2,10.30184211,191452.8488,15325.77053,662.8930263,5541.172763,26.75486842,161.7577632,6358.170658,152.1681579,59.65434211,12.93223684,5.217236842,228.1994737,2036.415658,1083.75,10197.34461,984.7893421,432.6846053,219.6478947,7059.877368,3131.116447
1995,1,2,13.35806452,107034.5358,30339.29129,1465.087742,4452.444194,5499.912258,2183.216452,15812.22903,327.2406452,101.8248387,0,169.8087097,272.1835484,1206.348065,4032.900968,2532.585161,221.7770968,50.82129032,867.183871,1817.754194,18815.72742
1996,1,2,13.83090909,140609.8691,111546.3964,72.77181818,1192.227273,26783.64727,438.8545455,8935.158182,272.5445455,0,0,0,267.7018182,6875.155455,1565.25,4207.261818,263.2154545,227.3045455,145.4627273,3922.258182,16635.71182
1997,1,2,11.64857143,178440.1429,60266.13071,285.2514286,2340.454286,38468.00786,1902.066429,3655.308571,69.67071429,313.4721429,89.44285714,0,411.6785714,79.18142857,3682.283571,9929.108571,512.9321429,298.9721429,50.88285714,9881.12,47672.64571
1998,1,2,18.18166667,86670.10278,85982.83222,574.33,785.2144444,3451.496111,14166.77778,22609.68,298.7916667,241.4961111,103.5088889,664.3466667,825.9094444,407.365,716.5416667,7584.466111,181.0133333,258.8177778,67.52666667,7518.600556,70428.18056
1999,1,2,13.23588235,118601.3259,101721.0465,1775.959412,6738.478824,7726.289412,8308.098235,53014.57118,232.2052941,3756.511176,29.16823529,942.8341176,1391.649412,210.7452941,1830.659412,38433.57176,206.8841176,638.1770588,1357.924118,37884.43176,9886.88
2000,1,2,8.878333333,169214.945,35834.21333,287.7066667,5539.418333,238.3233333,665.5216667,3499.256667,111.3183333,0,0,0,790.965,1027.506667,1422.026667,5346.396667,0,259.73,242.2983333,5227.235,8728.48
2001,1,2,17.79611111,162395.1817,46644.99833,4100.742222,8303.674444,8471.571111,1522.547778,160557.6328,141.8983333,425.6977778,199.5338889,29989.14056,1422.894444,22.61722222,993.695,13167.48278,11.005,260.4466667,1020.318333,12345.49167,21795.93722
2002,1,2,8.018823529,26545.46765,127515.9894,194.4035294,7387.958235,8179.775882,74.70411765,708.3647059,75.59352941,169.3794118,0,98.23941176,410.1047059,2463.199412,578.4494118,724.5941176,290.2788235,0,495.5447059,622.3835294,1200.261176
2003,1,2,6.835217391,39435.31522,55637.75,187.9421739,1456.705652,544.1373913,5.202608696,899.6895652,71.20086957,32.15217391,0,3.220434783,92.45913043,188.7352174,201.5478261,326.0991304,680.4969565,120.7634783,0,281.5291304,21.69
2004,1,2,5.3,38036.2,33799.49,0,0,94.15,0,94.15,0,0,0,0,0,188.3,0,470.75,0,0,3201.07,188.3,0
2005,1,2,10.24428571,37028.61286,75538.41357,76.95928571,3062.918571,0,296.5807143,3836.250357,21.72285714,917.7710714,0,8056.909643,288.7417857,189.7039286,100.8696429,496.0089286,511.9867857,12.61107143,37.27928571,274.7653571,18259.51714
2006,1,2,11.86333333,15882.638,37130.938,2.835333333,10180.44167,0,196.928,466.386,59.17366667,147.5823333,0,35.616,163.567,318.466,152.582,298.8426667,2719.275,74.58333333,2.213333333,149.6586667,4601.565333
2007,1,2,10.46222222,93947.28,38933.86444,60.50333333,2842.18,9861.532222,241.0566667,3687.571111,351.9744444,245.7077778,0,8559.356667,120.3722222,76.92555556,807.55,4189.144444,522.6722222,0,0,1412.416667,8996.125556
2008,1,2,7.901944444,31467.975,40601.76889,18.56944444,8591.268611,746.855,117.8427778,517.5488889,126.3013889,400.4716667,0,6566.610833,306.6094444,668.7313889,220.8855556,2690.697778,988.3580556,30.07611111,15.89722222,118.4555556,12145.96528
2009,1,2,8.403636364,18872.96424,18009.84697,3.812424242,3930.273939,1761.656667,101.6206061,481.809697,82.5269697,22.09090909,0,15.92272727,158.5948485,814.7833333,1128.249697,1761.405455,415.3566667,554.0639394,88.43424242,95.53909091,9686.593636
2010,1,2,8.051785714,26233.28179,54479.9775,43.69642857,1438.753571,66.45571429,513.2685714,2200.945357,163.355,371.4475,0,11523.92571,143.9132143,86.34678571,660.5457143,1673.423214,26.49571429,225.5057143,29773.66036,547.1567857,4604.318571
2011,1,2,7.7162,177617.6516,20881.9144,152.6876,5678.6372,4096.4814,473.4538,565.3488,161.5604,16.615,6.5086,441.5808,10.9438,71.3858,4513.4698,3784.935,1566.5394,14.542,19.657,2785.6332,14456.977
2012,1,2,6.607586207,56177.32379,15886.80276,19.27241379,13502.63621,202110.2438,48.63517241,290.1948276,542.9086207,177.6148276,257.3668966,1.823448276,318.3096552,112.7906897,1600.104138,5317.734483,381.5972414,31.78137931,13.67448276,4989.57,341.0310345
2013,1,2,6.81952381,137016.3333,35654.71,357.477619,6437.801429,1724.4,1068.623333,4744.898571,504.9461905,711.7214286,5.712380952,3862.915238,1559.867619,245.7809524,1596.932857,2655.791429,534.0752381,262.3461905,203.862381,2340.530476,4413.875714
2014,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017,1,2,12.38117647,180406.8615,80165.44294,461.4244118,8065.410882,2434.112941,1189.587941,2963.781765,370.6302941,122.0673529,5.797647059,38240.26735,158.7170588,21.13176471,2656.920882,1348.19,826.1726471,147.8911765,1612.547059,1110.729118,8733.145882
2018,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977,1,3,17.96875,122890.2431,91745.41875,0,1213.12875,0,0,1513.1925,49.7975,0,0,5.103125,1388.44375,0,323.865,499.08625,0,0,9.9225,71.0425,0
1978,1,3,10.01333333,2401.95,55776.25167,0,96.76166667,0,0,32.71,0,0,0,0,220.55,0,1772.958333,440.2133333,0,0,0,0,0
1979,1,3,34.75928571,47052.06929,339093.7786,0,2032.853571,0,57241.67929,47044.46357,0,712.5528571,5604.548571,56.06,795.8578571,48.46214286,3632.405,7354.653571,0,0,99080.60286,6511.955,1068.697143
1980,1,3,25.84363636,94724.16242,254504.2036,0,2999.942121,367.2954545,2548.093939,38141.35636,87.54515152,511.849697,10.98545455,81.59030303,1010.544848,31.83545455,6654.623333,9509.738788,0,0,2263.297576,8097.144242,512.4663636
1981,1,3,26.15056604,209904.3751,191437.6778,0,1209.166727,730.3838182,8799.656,12120.18509,16.88618182,461.1901818,0,122.0518182,1056.316909,22.054,10240.34418,34391.67473,160.1390909,63.46818182,2826.661818,27085.25018,1825.045455
1982,1,3,42.85147541,337053.8236,547799.3615,0,1284.8,72.5342623,4710.148361,12832.71852,52.54065574,167.9978689,14.72672131,244.7759016,587.2562295,6.14295082,5170.98459,22455.63164,110.974918,0,19649.1841,15058.3277,5558.829016
1983,1,3,33.14509091,21820.00291,254315.5438,0,146.3665455,61.14054545,760.858,1905.158909,54.14109091,61.05890909,22.03436364,39.94290909,156.8341818,29.16018182,49.77145455,1333.000364,149.6641818,0,3616.070364,1273.332909,3013.099091
1984,1,3,23.59755556,98800.98956,221026.5244,0,255.7862222,0,6.207111111,180.7306667,3.891333333,80.002,403.6831111,4.072222222,159.1086667,3.956666667,32.99911111,187.2957778,67.96088889,7.942,837.7131111,85.48355556,395.2997778
1985,1,3,31.38545455,84594.23227,286080.0427,0,33.5075,0,87.55931818,305.7240909,4.226590909,32.7275,130.5677273,48.16340909,108.7206818,20.97909091,146.3340909,1102.815909,101.9872727,0,314.3893182,1053.056591,881.4213636
1986,1,3,25.80932203,108119.938,170064.6722,0,196.1330508,1616.570847,39.80864407,1724.302542,93.62966102,224.5964407,0,730.0181356,514.6379661,8.924576271,46.12457627,3578.09678,159.7094915,1.594576271,5009.554576,3354.766102,323.580339
1987,1,3,25.99,27777.855,311561.245,0,2966.48,0,0,281.62,0,0,0,2966.48,93.875,7483.22,1550.265,6874.4,423.785,0,187.745,6874.4,0
1988,1,3,32.9552381,381211.7214,214230.4129,617.8052381,166.5514286,51.15047619,9.452380952,1124.947143,0,9.452380952,1153.262381,32.6547619,0,57.20809524,229.5047619,946.4557143,58.14047619,32.6547619,6962.785238,139.5009524,29.06047619
1989,1,3,23.5196875,240022.3231,129421.8522,2087.02875,233.535,58.689375,41.746875,1614.60375,0,113.91875,1509.79875,0,691.59875,104.403125,146.7403125,392.485625,421.1084375,5.6534375,514.6396875,213.394375,614.2721875
1990,1,3,24.38846154,277822.9885,109964.2138,4717.17,4011.962308,5295.193846,11564.31115,69982.49308,50.69346154,13902.88923,4973.738077,28.69923077,315.7811538,51.75115385,1733.619231,1428.593846,39.35384615,0,30.54692308,1046.681154,46594.50308
1991,1,3,16.34787879,315548.6545,83715.9,12860.17879,1480.495758,88.08030303,11666.87697,22989.46667,21.63242424,337.4278788,715.7890909,94.10727273,733.4460606,171.6924242,3257.088182,24151.66061,101.769697,294.5084848,623.2593939,23667.71788,12206.41576
1992,1,3,15.98265306,182398.7588,76436.46245,6116.31898,823.0202041,484.5061224,8292.45102,20584.83592,145.4918367,183.7083673,509.5214286,982.2004082,258.6022449,154.7069388,605.5704082,24119.78612,92.60183673,1955.177959,888.76,18565.4502,8054.063061
1993,1,3,21.54516129,326025.7987,101458.2719,15666.99613,3280.919355,103.4683871,10481.50548,40494.36645,0,657.8335484,699.5022581,777.5583871,764.5880645,177.1719355,10291.8029,17579.12387,42.72451613,7515.69,301.8480645,17212.73871,3988.635806
1994,1,3,16.89142857,285726.8593,94348.57071,6121.099286,2813.924286,0,49551.71786,74259.12,4.415,273.2907143,0,0,240.2728571,107.1242857,1962.352143,18916.22571,62.35714286,7464.084286,0,18087.64357,2817.56
1995,1,3,26.698,68898.776,204499.558,3230.985,584.568,0,15402.799,57651.921,0,254.187,0,0,125.265,0,1413.296,10489.751,0,47.57,1030.376,10433.975,7583.69
1996,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,1,3,11.585,34399.02917,43996.98667,514.8366667,379.9083333,9.998333333,19409.7175,13878.83083,81.60333333,129.5775,0,0,226.2108333,32.0775,3302.62,7812.7125,4.7175,4999.541667,14.15166667,7775.394167,5898.688333
1998,1,3,20.31642857,64726.36429,86094.675,2981.875,330.9457143,33.10642857,45381.80643,30435.73571,79.36,270.4321429,72.37785714,47.15071429,233.3807143,0,2944.24,3170.085,0,6827.089286,99.455,2951.539286,26500.84857
1999,1,3,34.15526316,72681.69526,265415.62,44866.78684,2003.986316,1420.133684,45068.12105,517773.6058,34.20947368,10328.51263,446.2015789,3734.626842,49.68105263,301.0584211,3923.053158,167865.3532,34.20947368,6983.430526,2862.805263,157250.9116,14487.69105
2000,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
